Trial,Stimulation,NeuronID,Target,DirectConn,SynW,InRange,Distance,PosX,PosY,Activation
0,False,764,0,0,0.0,0,0.14554499478741909,0.054054054054054085,-0.13513513513513523,1
0,False,765,0,0,0.0,0,0.17093392757666917,0.054054054054054085,-0.1621621621621622,1
0,False,766,0,0,0.0,0,0.19675972673731126,0.054054054054054085,-0.18918918918918917,0
0,False,767,0,0,0.0,0,0.2228705743577114,0.054054054054054085,-0.21621621621621626,0
0,False,768,0,0,0.0,0,0.24917687722413215,0.054054054054054085,-0.24324324324324334,0
0,False,769,0,0,0.0,0,0.2756226764104208,0.054054054054054085,-0.2702702702702703,0
0,False,770,0,0,0.0,0,0.30217134831078235,0.054054054054054085,-0.29729729729729726,0
0,False,771,0,0,0.0,0,0.3287979746107146,0.054054054054054085,-0.32432432432432434,0
0,False,772,0,0,0.0,0,0.3554850388639435,0.054054054054054085,-0.3513513513513514,0
0,False,773,0,0,0.0,0,0.38221988172245813,0.054054054054054085,-0.3783783783783784,0
0,False,774,0,0,0.0,0,0.40899313379517716,0.054054054054054085,-0.4054054054054054,0
0,False,775,0,0,0.0,0,0.43579771612424595,0.054054054054054085,-0.43243243243243246,1
0,False,776,0,0,0.0,0,0.4626281829357755,0.054054054054054085,-0.45945945945945954,0
0,False,777,0,0,0.0,0,0.4894802777371577,0.054054054054054085,-0.4864864864864865,0
0,False,778,0,0,0.0,0,0.4931969619160719,0.08108108108108106,0.4864864864864865,0
0,False,779,0,0,0.0,0,0.46655882436843427,0.08108108108108106,0.45945945945945943,1
0,False,780,0,0,0.0,0,0.439968124218911,0.08108108108108106,0.43243243243243246,0
0,False,781,0,0,0.0,0,0.4134340146156312,0.08108108108108106,0.4054054054054054,2
0,False,782,0,0,0.0,0,0.38696813684530684,0.08108108108108106,0.3783783783783784,0
0,False,783,0,0,0.0,0,0.3605855152466576,0.08108108108108106,0.3513513513513513,0
0,False,784,0,0,0.0,0,0.33430586153656705,0.08108108108108106,0.32432432432432434,2
0,False,785,0,0,0.0,0,0.3081555202970643,0.08108108108108106,0.29729729729729726,0
0,False,786,0,0,0.0,0,0.2821704461867716,0.08108108108108106,0.2702702702702703,1
0,False,787,0,0,0.0,0,0.2564008913650037,0.08108108108108106,0.24324324324324323,0
0,False,788,0,0,0.0,0,0.23091902014371707,0.08108108108108106,0.2162162162162162,0
0,False,789,0,0,0.0,0,0.2058317055638894,0.08108108108108106,0.18918918918918917,0
0,False,790,0,0,0.0,0,0.18130280898646942,0.08108108108108106,0.16216216216216214,0
0,False,791,0,0,0.0,0,0.15759329445527837,0.08108108108108106,0.13513513513513511,0
0,False,792,0,0,0.0,0,0.13513513513513511,0.08108108108108106,0.10810810810810809,1
0,False,793,0,1,25.33892714031858,1,0.1146659645167374,0.08108108108108106,0.08108108108108106,0
0,False,794,0,0,0.0,1,0.09744733176929697,0.08108108108108106,0.05405405405405403,1
0,False,795,0,0,0.0,1,0.08546696378833453,0.08108108108108106,0.027027027027027,0
0,False,796,0,0,0.0,1,0.08108108108108103,0.08108108108108106,-2.7755575615628914e-17,1
